Name,Span,Innings,Runs,Batting_Average
SR Tendulkar,SR Tendulkar,463,18426,
V Kohli,V Kohli,271,12809,
SC Ganguly,SC Ganguly,308,11221,
R Dravid,R Dravid,340,10768,
MS Dhoni,MS Dhoni,347,10599,
RG Sharma,RG Sharma,241,9782,
M Azharuddin,M Azharuddin,334,9378,
Yuvraj Singh,Yuvraj Singh,301,8609,
V Sehwag,V Sehwag,241,7995,
S Dhawan,S Dhawan,167,6793,
SK Raina,SK Raina,226,5615,
A Jadeja,A Jadeja,196,5359,
G Gambhir,G Gambhir,147,5238,
NS Sidhu,NS Sidhu,136,4413,
K Srikkanth,K Srikkanth,146,4091,
N Kapil Dev,N Kapil Dev,225,3783,
DB Vengsarkar,DB Vengsarkar,129,3508,
RJ Shastri,RJ Shastri,150,3108,
SM Gavaskar,SM Gavaskar,108,3092,
AM Rahane,AM Rahane,90,2962,
M Kaif,M Kaif,125,2753,
VG Kambli,VG Kambli,104,2477,
RA Jadeja,RA Jadeja,171,2447,
VVS Laxman,VVS Laxman,86,2338,
RR Singh,RR Singh,136,2336,
SV Manjrekar,SV Manjrekar,74,1994,
M Amarnath,M Amarnath,85,1924,
KL Rahul,KL Rahul,51,1870,
M Prabhakar,M Prabhakar,130,1858,
KD Karthik,KD Karthik,94,1752,
AT Rayudu,AT Rayudu,55,1694,
SS Iyer,SS Iyer,42,1631,
IK Pathan,IK Pathan,120,1544,
HH Pandya,HH Pandya,71,1518,
KM Jadhav,KM Jadhav,73,1389,
NR Mongia,NR Mongia,140,1272,
AB Agarkar,AB Agarkar,191,1269,
Shubman Gill,Shubman Gill,21,1254,
D Mongia,D Mongia,57,1230,
Harbhajan Singh,Harbhajan Singh,234,1213,
SM Patil,SM Patil,45,1005,
RV Uthappa,RV Uthappa,46,934,
A Kumble,A Kumble,269,903,
Yashpal Sharma,Yashpal Sharma,42,883,
J Srinath,J Srinath,229,883,
HK Badani,HK Badani,40,867,
RR Pant,RR Pant,30,865,
YK Pathan,YK Pathan,57,810,
R Lamba,R Lamba,32,783,
Z Khan,Z Khan,194,753,
